ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.6524,-75.4404
ABI,Abilene Regional Airport,Abilene,TX,USA,32.4113,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.0402,-106.609
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.4491,-98.4218
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.5355,-84.1945
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.2531,-70.0602
ACT,Waco Regional Airport,Waco,TX,USA,31.6113,-97.2305
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.9781,-124.109
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.4576,-74.5772
ADK,Adak Airport,Adak,AK,USA,51.878,-176.646
ADQ,Kodiak Airport,Kodiak,AK,USA,57.75,-152.494
AEX,Alexandria International Airport,Alexandria,LA,USA,31.3274,-92.5486
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.37,-81.9645
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.649
ALB,Albany International Airport,Albany,NY,USA,42.7481,-73.803
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.5571,-92.4003
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.2194,-101.706
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.1743,-149.996
APN,Alpena County Regional Airport,Alpena,MI,USA,45.0781,-83.5603
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.2232,-106.869
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.6404,-84.4269
ATW,Appleton International Airport,Appleton,WI,USA,44.2574,-88.5195
ATY,Watertown Regional Airport,Watertown,SD,USA,44.913889,-97.154722
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.1945,-97.6699
AVL,Asheville Regional Airport,Asheville,NC,USA,35.4362,-82.5418
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.3382,-75.7243
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.2349,-85.5521
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.9389,-72.6832
BET,Bethel Airport,Bethel,AK,USA,60.7798,-161.838
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.057
BFM,Mobile Downtown Airport,Mobile,AL,USA,30.626667,-88.068056
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.2085,-75.9796
BGR,Bangor International Airport,Bangor,ME,USA,44.8074,-68.8281
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.5629,-86.7535
BIL,Billings Logan International Airport,Billings,MT,USA,45.8077,-108.543
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.7741,-100.747
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.5094,-94.9337
BLI,Bellingham International Airport,Bellingham,WA,USA,48.7928,-122.538
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.478,-88.9159
BNA,Nashville International Airport,Nashville,TN,USA,36.1245,-86.6782
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.5644,-116.223
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.3643,-71.0052
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.9508,-94.0207
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.259,-81.4663
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.4949,-67.1294
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.3979,-94.1372
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.9068,-97.4259
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.2855,-156.766
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.497
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.5332,-91.1496
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.1503
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.9405,-78.7322
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.2006,-118.358
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.153
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.9388,-81.1195
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.9163,-81.4425
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.701,-113.099
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.4918,-145.478
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.7802,-124.237
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.0353,-85.2038
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.1386,-78.4529
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.8987,-80.0405
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.8846,-91.7109
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.2508,-84.4724
CLD,McClellan-Palomar Airport,San Diego,CA,USA,33.1272,-117.279
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.4109,-81.8494
CLL,Easterwood Airport,College Station,TX,USA,30.5886,-96.3638
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.214,-80.9431
CMH,Port Columbus International Airport,Columbus,OH,USA,39.998,-82.8919
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.0392,-88.2781
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.1684,-88.4891
CNY,Canyonlands Field,Moab,UT,USA,38.755,-109.755
COD,Yellowstone Regional Airport,Cody,WY,USA,44.5202,-109.024
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,USA,38.8058,-104.7
COU,Columbia Regional Airport,Columbia,MO,USA,38.8181,-92.2196
CPR,Natrona County International Airport,Casper,WY,USA,42.9084,-106.464
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.7704,-97.5012
CRW,Yeager Airport,Charleston,WV,USA,38.3731,-81.5932
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.5163,-84.9389
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.0461,-84.6622
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.7776,-89.6668
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.1799,-81.0581
DAL,Dallas Love Field,Dallas,TX,USA,32.8471,-96.8518
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.9024,-84.2194
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.403,-90.7092
DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.8521,-77.0377
DEN,Denver International Airport,Denver,CO,USA,39.8584,-104.667
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.896,-97.0372
DHN,Dothan Regional Airport,Dothan,AL,USA,31.3213,-85.4496
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,USA,46.7974,-102.802
DLG,Dillingham Airport,Dillingham,AK,USA,59.0454,-158.503
DLH,Duluth International Airport,Duluth,MN,USA,46.8421,-92.1936
DRO,Durango-La Plata County Airport,Durango,CO,USA,37.1515,-107.754
DSM,Des Moines International Airport,Des Moines,IA,USA,41.5349,-93.6607
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.2121,-83.3488
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.1143,-98.9088
